mean,avg_formality,text
0.30945366168009514,0.19999999999999998,it 's a Holiday Inn for terroists .
0.2952868956582234,0.16666666666666666,Good Luck and do n't give up !
0.644633772256623,0.5333333333333333,Most SHC victims are found near a heat source .
0.4109501664020082,0.2333333333333333,Tanay : I did have an opinion .
0.15404574164727738,0.19999999999999998,if you like him tell him !
0.07523819438476331,0.0,that 's bull * * * * !
0.6873729695819767,0.8666666666666667,Patients have financial incentives to select providers within the PPO network .
0.6199039278543372,0.5666666666666667,"Rhizomes - they are roots or underground stems , as in ginger ."
0.20913232381432226,0.0,Coke Pizza Snickers Black Jeans Shoes Cold
0.18608683165687573,0.19999999999999998,If you want it all I found out who did it ?
0.6902459633313762,0.6,"02/09/78 - Abducts Kimberly Ann Leach from her school in Lake City , Florida ."
0.4243570212505634,0.5,These are the same compounds that give farts their odor .
0.23630187548284065,0.3333333333333333,"No , to the contrary ."
0.2750410242357522,0.16666666666666666,i ' m not sure why though .
0.6676446152596813,0.7333333333333334,"Fifth , Scientology has a warped code of ethics ."
0.7867103781098296,0.8666666666666667,Applied ecology applies ecological principles to the management of populations of crops and animals .
0.5076704462381809,0.7000000000000001,"No , he is a slave to the interpretations of the modern idiot/evangelist ."
0.48944742862504537,0.7666666666666666,I fail to see how his religion has anything to do with it .
0.1423750875752706,0.0,`` interesing ! ''
0.5875821792685226,0.4666666666666666,"* Contrary to popular belief , the Titanic did n't hit an iceberg ."
0.30541109724165905,0.3333333333333333,Do n't drive her to an emergency room by car .
0.5162315086538355,0.19999999999999998,probably best to check out their web site to be on the safe side
0.7772451236257029,0.7999999999999999,Instructors are responsible for establishing and publishing the grading scale applicable to their courses .
0.19880296704273687,0.26666666666666666,Why are you wasting your time wondering who to be with .
0.5001268565207929,0.39999999999999997,Go to Yahoo and type in Yahoo toolbar .
0.5362159501268738,0.19999999999999998,Well they ' re are laws for this country .
0.44462175211829125,0.2333333333333333,still have some time to grow up .
0.6893032017612708,0.7333333333333334,"For the exercise , consider it a priority to include it into your routine ."
0.4622151452746948,0.6666666666666666,"When the horse stop 's , immediately reward the horse ."
0.15009277358813744,0.19999999999999998,its a jeep !
0.42013079567439954,0.1333333333333333,"as possible , as the dialogue will certainly make you squirm in your seat ."
0.035820568866146985,0.16666666666666666,I REALLY DONT KNOW SORRY ! ! ! ! !
0.3052905939482605,0.5,Find a practice workbook .
0.3984632204859758,0.10000000000000002,"We ten started talking online a lot , then the phone ."
